Boro,Station (alphabetical by borough),2012,Boro,Station (alphabetical by borough),2012,Check
,The Bronx,,,The Bronx,,
The Bronx,138 St-Grand Concourse 4 train icon 5 train icon,2648,The Bronx,138 St-Grand Concourse 4 train icon 5 train icon,3183,TRUE
The Bronx,149 St-Grand Concourse 2 train icon 4 train icon 5 train icon,13024,The Bronx,149 St-Grand Concourse 2 train icon 4 train icon 5 train icon,13599,TRUE
The Bronx,161 St-Yankee Stadium B train icon D train icon 4 train icon,35820,The Bronx,161 St-Yankee Stadium B train icon D train icon 4 train icon,27604,TRUE
The Bronx,167 St 4 train icon,11188,The Bronx,167 St 4 train icon,9699,TRUE
The Bronx,167 St B train icon D train icon,11924,The Bronx,167 St B train icon D train icon,9264,TRUE
The Bronx,170 St 4 train icon,10952,The Bronx,170 St 4 train icon,9518,TRUE
The Bronx,170 St B train icon D train icon,8324,The Bronx,170 St B train icon D train icon,6303,TRUE
The Bronx,174 St 2 train icon 5 train icon,7210,The Bronx,174 St 2 train icon 5 train icon,7018,TRUE
The Bronx,174-175 Sts B train icon D train icon,5833,The Bronx,174-175 Sts B train icon D train icon,4706,TRUE
The Bronx,176 St 4 train icon,6508,The Bronx,176 St 4 train icon,5623,TRUE
The Bronx,182-183 Sts B train icon D train icon,5807,The Bronx,182-183 Sts B train icon D train icon,4507,TRUE
The Bronx,183 St 4 train icon,7588,The Bronx,183 St 4 train icon,6319,TRUE
The Bronx,219 St 2 train icon 5 train icon,3827,The Bronx,219 St 2 train icon 5 train icon,3413,TRUE
The Bronx,225 St 2 train icon 5 train icon,4838,The Bronx,225 St 2 train icon 5 train icon,4469,TRUE
The Bronx,231 St 1 train icon,9704,The Bronx,231 St 1 train icon,9187,TRUE
The Bronx,233 St 2 train icon 5 train icon,5971,The Bronx,233 St 2 train icon 5 train icon,5388,TRUE
The Bronx,238 St 1 train icon,3716,The Bronx,238 St 1 train icon,3612,TRUE
The Bronx,3 Av-138 St 6 train icon,8670,The Bronx,3 Av-138 St 6 train icon,7326,TRUE
The Bronx,3 Av-149 St 2 train icon 5 train icon,25356,The Bronx,3 Av-149 St 2 train icon 5 train icon,24580,TRUE
The Bronx,Allerton Av 2 train icon 5 train icon,6242,The Bronx,Allerton Av 2 train icon 5 train icon,5389,TRUE
The Bronx,Baychester Av 5 train icon,3032,The Bronx,Baychester Av 5 train icon,3980,TRUE
The Bronx,Bedford Park Blvd B train icon D train icon,7039,The Bronx,Bedford Park Blvd B train icon D train icon,6183,TRUE
The Bronx,Bedford Park Blvd-Lehman College 4 train icon,5303,The Bronx,Bedford Park Blvd-Lehman College 4 train icon,6034,TRUE
The Bronx,Bronx Park East 2 train icon 5 train icon,2880,The Bronx,Bronx Park East 2 train icon 5 train icon,2811,TRUE
The Bronx,Brook Av 6 train icon,6742,The Bronx,Brook Av 6 train icon,6113,TRUE
The Bronx,Buhre Av 6 train icon,2837,The Bronx,Buhre Av 6 train icon,3418,TRUE
The Bronx,Burke Av 2 train icon 5 train icon,3900,The Bronx,Burke Av 2 train icon 5 train icon,3491,TRUE
The Bronx,Burnside Av 4 train icon,12070,The Bronx,Burnside Av 4 train icon,11387,TRUE
The Bronx,Castle Hill Av 6 train icon,7956,The Bronx,Castle Hill Av 6 train icon,7567,TRUE
The Bronx,Cypress Av 6 train icon,3445,The Bronx,Cypress Av 6 train icon,3636,TRUE
The Bronx,East 143 St-St Mary's St 6 train icon,771,The Bronx,East 143 St-St Mary's St 6 train icon,973,TRUE
The Bronx,East 149 St 6 train icon,5132,The Bronx,East 149 St 6 train icon,4486,TRUE
The Bronx,East 180 St 2 train icon 5 train icon,7154,The Bronx,East 180 St 2 train icon 5 train icon,6832,TRUE
The Bronx,Eastchester-Dyre Av 5 train icon,3212,The Bronx,Eastchester-Dyre Av 5 train icon,4765,TRUE
The Bronx,Elder Av 6 train icon,7207,The Bronx,Elder Av 6 train icon,6161,TRUE
The Bronx,Fordham Rd 4 train icon,14757,The Bronx,Fordham Rd 4 train icon,12560,TRUE
The Bronx,Fordham Rd B train icon D train icon,14157,The Bronx,Fordham Rd B train icon D train icon,11521,TRUE
The Bronx,Freeman St 2 train icon 5 train icon,4540,The Bronx,Freeman St 2 train icon 5 train icon,4569,TRUE
The Bronx,Gun Hill Rd 2 train icon 5 train icon,7899,The Bronx,Gun Hill Rd 2 train icon 5 train icon,7212,TRUE
The Bronx,Gun Hill Rd 5 train icon,4910,The Bronx,Gun Hill Rd 5 train icon,5953,TRUE
The Bronx,Hunts Point Av 6 train icon,11168,The Bronx,Hunts Point Av 6 train icon,10389,TRUE
The Bronx,Intervale Av 2 train icon 5 train icon,2853,The Bronx,Intervale Av 2 train icon 5 train icon,3121,TRUE
The Bronx,Jackson Av 2 train icon 5 train icon,4578,The Bronx,Jackson Av 2 train icon 5 train icon,5060,TRUE
The Bronx,Kingsbridge Rd 4 train icon,10587,The Bronx,Kingsbridge Rd 4 train icon,10377,TRUE
The Bronx,Kingsbridge Rd B train icon D train icon,8373,The Bronx,Kingsbridge Rd B train icon D train icon,7184,TRUE
The Bronx,Longwood Av 6 train icon,3589,The Bronx,Longwood Av 6 train icon,3476,TRUE
The Bronx,Middletown Rd 6 train icon,1372,The Bronx,Middletown Rd 6 train icon,1969,TRUE
The Bronx,Morris Park 5 train icon,1255,The Bronx,Morris Park 5 train icon,2083,TRUE
The Bronx,Morrison Av-Soundview 6 train icon,7494,The Bronx,Morrison Av-Soundview 6 train icon,6582,TRUE
The Bronx,Mosholu Pkwy 4 train icon,9261,The Bronx,Mosholu Pkwy 4 train icon,9596,TRUE
The Bronx,Mt Eden Av 4 train icon,6444,The Bronx,Mt Eden Av 4 train icon,5859,TRUE
The Bronx,Nereid Av 2 train icon 5 train icon,3396,The Bronx,Nereid Av 2 train icon 5 train icon,3603,TRUE
The Bronx,Norwood-205 St D train icon,9025,The Bronx,Norwood-205 St D train icon,7872,TRUE
The Bronx,Parkchester 6 train icon,16260,The Bronx,Parkchester 6 train icon,15190,TRUE
The Bronx,Pelham Bay Park 6 train icon,6516,The Bronx,Pelham Bay Park 6 train icon,6688,TRUE
The Bronx,Pelham Pkwy 2 train icon 5 train icon,10246,The Bronx,Pelham Pkwy 2 train icon 5 train icon,9288,TRUE
The Bronx,Pelham Pkwy 5 train icon,1746,The Bronx,Pelham Pkwy 5 train icon,3314,TRUE
The Bronx,Prospect Av 2 train icon 5 train icon,6521,The Bronx,Prospect Av 2 train icon 5 train icon,7053,TRUE
The Bronx,Simpson St 2 train icon 5 train icon,9045,The Bronx,Simpson St 2 train icon 5 train icon,9243,TRUE
The Bronx,St Lawrence Av 6 train icon,4537,The Bronx,St Lawrence Av 6 train icon,3852,TRUE
The Bronx,Tremont Av B train icon D train icon,10412,The Bronx,Tremont Av B train icon D train icon,8882,TRUE
The Bronx,Van Cortlandt Park-242 St 1 train icon,6968,The Bronx,Van Cortlandt Park-242 St 1 train icon,6641,TRUE
The Bronx,Wakefield-241 St 2 train icon,6195,The Bronx,Wakefield-241 St 2 train icon,5048,TRUE
The Bronx,West Farms Sq-East Tremont Av 2 train icon 5 train icon,8494,The Bronx,West Farms Sq-East Tremont Av 2 train icon 5 train icon,7842,TRUE
The Bronx,Westchester Sq-East Tremont Av 6 train icon,5512,The Bronx,Westchester Sq-East Tremont Av 6 train icon,6663,TRUE
The Bronx,Whitlock Av 6 train icon,1857,The Bronx,Whitlock Av 6 train icon,1691,TRUE
The Bronx,Woodlawn 4 train icon,8577,The Bronx,Woodlawn 4 train icon,7797,TRUE
The Bronx,Zerega Av 6 train icon,2523,The Bronx,Zerega Av 6 train icon,2849,TRUE
,Brooklyn,,,Brooklyn,,TRUE
Brooklyn,15 St-Prospect Park F train icon G train icon,6358,Brooklyn,15 St-Prospect Park F train icon G train icon,6018,TRUE
Brooklyn,18 Av D train icon,4960,Brooklyn,18 Av D train icon,5544,TRUE
Brooklyn,18 Av F train icon,4328,Brooklyn,18 Av F train icon,4220,TRUE
Brooklyn,18 Av N train icon,8083,Brooklyn,18 Av N train icon,5507,TRUE
Brooklyn,20 Av D train icon,4287,Brooklyn,20 Av D train icon,4556,TRUE
Brooklyn,20 Av N train icon,4060,Brooklyn,20 Av N train icon,4091,TRUE
Brooklyn,25 Av D train icon,3530,Brooklyn,25 Av D train icon,4046,TRUE
Brooklyn,25 St R train icon,4430,Brooklyn,25 St R train icon,3820,TRUE
Brooklyn,36 St D train icon N train icon R train icon,14459,Brooklyn,36 St D train icon N train icon R train icon,11946,TRUE
Brooklyn,4 Av F train icon G train icon/9 St R train icon,17155,Brooklyn,4 Av F train icon G train icon/9 St R train icon,13471,TRUE
Brooklyn,45 St R train icon,8898,Brooklyn,45 St R train icon,7070,TRUE
Brooklyn,50 St D train icon,2648,Brooklyn,50 St D train icon,3172,TRUE
Brooklyn,53 St R train icon,8897,Brooklyn,53 St R train icon,7476,TRUE
Brooklyn,55 St D train icon,1445,Brooklyn,55 St D train icon,1859,TRUE
Brooklyn,59 St N train icon R train icon,14029,Brooklyn,59 St N train icon R train icon,12317,TRUE
Brooklyn,7 Av B train icon Q train icon,8739,Brooklyn,7 Av B train icon Q train icon,9408,TRUE
Brooklyn,7 Av F train icon G train icon,12271,Brooklyn,7 Av F train icon G train icon,12118,TRUE
Brooklyn,71 St D train icon,3398,Brooklyn,71 St D train icon,4007,TRUE
Brooklyn,77 St R train icon,5040,Brooklyn,77 St R train icon,5306,TRUE
Brooklyn,79 St D train icon,4500,Brooklyn,79 St D train icon,5612,TRUE
Brooklyn,8 Av N train icon,16292,Brooklyn,8 Av N train icon,10613,TRUE
Brooklyn,86 St N train icon,3159,Brooklyn,86 St N train icon,2552,TRUE
Brooklyn,86 St R train icon,12582,Brooklyn,86 St R train icon,11313,TRUE
Brooklyn,9 Av D train icon,5531,Brooklyn,9 Av D train icon,5440,TRUE
Brooklyn,Alabama Av J train icon,2844,Brooklyn,Alabama Av J train icon,2464,TRUE
Brooklyn,Atlantic Av- Barclays CtrB train icon Q train icon 2 train icon 3 train icon 4 train icon 5 train iconD train icon N train icon R train icon,47970,Brooklyn,Atlantic Av- Barclays Ctr B train icon Q train icon 2 train icon 3 train icon 4 train icon 5 train iconD train icon N train icon R train icon,35670,FALSE
Brooklyn,Atlantic Av L train icon,1326,Brooklyn,Atlantic Av L train icon,1487,TRUE
Brooklyn,Avenue H Q train icon,2632,Brooklyn,Avenue H Q train icon,2714,TRUE
Brooklyn,Avenue I F train icon,2046,Brooklyn,Avenue I F train icon,2284,TRUE
Brooklyn,Avenue J Q train icon,5679,Brooklyn,Avenue J Q train icon,5974,TRUE
Brooklyn,Avenue M Q train icon,4030,Brooklyn,Avenue M Q train icon,5544,TRUE
Brooklyn,Avenue N F train icon,2983,Brooklyn,Avenue N F train icon,3390,TRUE
Brooklyn,Avenue P F train icon,2703,Brooklyn,Avenue P F train icon,2705,TRUE
Brooklyn,Avenue U F train icon,2408,Brooklyn,Avenue U F train icon,2302,TRUE
Brooklyn,Avenue U  N train icon,5533,Brooklyn,Avenue U  N train icon,3980,TRUE
Brooklyn,Avenue U  Q train icon,7233,Brooklyn,Avenue U  Q train icon,6694,TRUE
Brooklyn,Avenue X F train icon,2589,Brooklyn,Avenue X F train icon,2877,TRUE
Brooklyn,Bay 50 St D train icon,2168,Brooklyn,Bay 50 St D train icon,2632,TRUE
Brooklyn,Bay Pkwy D train icon,6444,Brooklyn,Bay Pkwy D train icon,6726,TRUE
Brooklyn,Bay Pkwy F train icon,1518,Brooklyn,Bay Pkwy F train icon,1526,TRUE
Brooklyn,Bay Pkwy N train icon,9107,Brooklyn,Bay Pkwy N train icon,6892,TRUE
Brooklyn,Bay Ridge Av R train icon,8618,Brooklyn,Bay Ridge Av R train icon,8206,TRUE
Brooklyn,Bay Ridge-95 St R train icon,5700,Brooklyn,Bay Ridge-95 St R train icon,5996,TRUE
Brooklyn,Bedford Av L train icon,43891,Brooklyn,Bedford Av L train icon,23825,TRUE
Brooklyn,Bedford-Nostrand Avs G train icon,8239,Brooklyn,Bedford-Nostrand Avs G train icon,6755,TRUE
Brooklyn,Bergen St 2 train icon 3 train icon,5126,Brooklyn,Bergen St 2 train icon 3 train icon,4472,TRUE
Brooklyn,Bergen St F train icon G train icon,12573,Brooklyn,Bergen St F train icon G train icon,11370,TRUE
Brooklyn,Beverley Rd Q train icon,3198,Brooklyn,Beverley Rd Q train icon,3096,TRUE
Brooklyn,Beverly Rd 2 train icon 5 train icon,4061,Brooklyn,Beverly Rd 2 train icon 5 train icon,4199,TRUE
Brooklyn,Brighton Beach B train icon Q train icon,12461,Brooklyn,Brighton Beach B train icon Q train icon,12376,TRUE
Brooklyn,Broadway G train icon,3737,Brooklyn,Broadway G train icon,3272,TRUE
Brooklyn,Broadway Junction A train icon C train icon J train icon L train icon Z train icon,12206,Brooklyn,Broadway Junction A train icon C train icon J train icon L train icon Z train icon,8790,TRUE
Brooklyn,Bushwick Av-Aberdeen St L train icon,1533,Brooklyn,Bushwick Av-Aberdeen St L train icon,1371,TRUE
Brooklyn,Canarsie-Rockaway Pkwy L train icon,12063,Brooklyn,Canarsie-Rockaway Pkwy L train icon,13039,TRUE
Brooklyn,Carroll St F train icon G train icon,12155,Brooklyn,Carroll St F train icon G train icon,13193,TRUE
Brooklyn,Central Av M train icon,2387,Brooklyn,Central Av M train icon,3445,TRUE
Brooklyn,Chauncey St J train icon Z train icon,3751,Brooklyn,Chauncey St J train icon Z train icon,3037,TRUE
Brooklyn,Church Av 2 train icon 5 train icon,9543,Brooklyn,Church Av 2 train icon 5 train icon,9851,TRUE
Brooklyn,Church Av B train icon Q train icon,17733,Brooklyn,Church Av B train icon Q train icon,16042,TRUE
Brooklyn,Church Av F train icon G train icon,10593,Brooklyn,Church Av F train icon G train icon,9985,TRUE
Brooklyn,Clark St 2 train icon 3 train icon,7615,Brooklyn,Clark St 2 train icon 3 train icon,5760,TRUE
Brooklyn,Classon Av G train icon,5178,Brooklyn,Classon Av G train icon,4288,TRUE
Brooklyn,Cleveland St J train icon,3856,Brooklyn,Cleveland St J train icon,3271,TRUE
Brooklyn,Clinton-Washington Avs C train icon,7056,Brooklyn,Clinton-Washington Avs C train icon,6033,TRUE
Brooklyn,Clinton-Washington Avs G train icon,6301,Brooklyn,Clinton-Washington Avs G train icon,5183,TRUE
Brooklyn,Coney Island-Stillwell Av D train icon F train icon N train icon Q train icon,23981,Brooklyn,Coney Island-Stillwell Av D train icon F train icon N train icon Q train icon,13474,TRUE
Brooklyn,Cortelyou Rd Q train icon,7241,Brooklyn,Cortelyou Rd Q train icon,6379,TRUE
Brooklyn,Court St R train icon/Borough Hall 2 train icon 3 train icon 4 train icon 5 train icon,27299,Brooklyn,Court St R train icon/Borough Hall 2 train icon 3 train icon 4 train icon 5 train icon,38088,TRUE
Brooklyn,Crescent St J train icon Z train icon,6335,Brooklyn,Crescent St J train icon Z train icon,4635,TRUE
Brooklyn,Crown Heights-Utica Av 3 train icon 4 train icon,28918,Brooklyn,Crown Heights-Utica Av 3 train icon 4 train icon,27549,TRUE
Brooklyn,Cypress Hills J train icon,1148,Brooklyn,Cypress Hills J train icon,1391,TRUE
Brooklyn,DeKalb Av B train icon Q train icon R train icon,14327,Brooklyn,DeKalb Av B train icon Q train icon R train icon,17791,TRUE
Brooklyn,DeKalb Av L train icon,13534,Brooklyn,DeKalb Av L train icon,11004,TRUE
Brooklyn,Ditmas Av F train icon,4260,Brooklyn,Ditmas Av F train icon,4669,TRUE
Brooklyn,East 105 St L train icon,3256,Brooklyn,East 105 St L train icon,3727,TRUE
Brooklyn,Eastern Pkwy-Brooklyn Museum 2 train icon 3 train icon,7038,Brooklyn,Eastern Pkwy-Brooklyn Museum 2 train icon 3 train icon,4795,TRUE
Brooklyn,Euclid Av A train icon C train icon,10455,Brooklyn,Euclid Av A train icon C train icon,10169,TRUE
Brooklyn,Flatbush Av-Brooklyn College 2 train icon 5 train icon,16452,Brooklyn,Flatbush Av-Brooklyn College 2 train icon 5 train icon,21942,TRUE
Brooklyn,Flushing Av G train icon,2091,Brooklyn,Flushing Av G train icon,2157,TRUE
Brooklyn,Flushing Av J train icon M train icon,9803,Brooklyn,Flushing Av J train icon M train icon,8963,TRUE
Brooklyn,Fort Hamilton Pkwy D train icon,3145,Brooklyn,Fort Hamilton Pkwy D train icon,3403,TRUE
Brooklyn,Fort Hamilton Pkwy F train icon G train icon,4843,Brooklyn,Fort Hamilton Pkwy F train icon G train icon,5092,TRUE
Brooklyn,Fort Hamilton Pkwy N train icon,7419,Brooklyn,Fort Hamilton Pkwy N train icon,6786,TRUE
Brooklyn,Franklin Av 2 train icon 3 train icon 4 train icon 5 train icon/Botanic Garden S train icon,19949,Brooklyn,Franklin Av 2 train icon 3 train icon 4 train icon 5 train icon/Botanic Garden S train icon,15352,TRUE
Brooklyn,Franklin Av C train icon S train icon,8279,Brooklyn,Franklin Av C train icon S train icon,6111,TRUE
Brooklyn,Fulton St G train icon,5363,Brooklyn,Fulton St G train icon,3956,TRUE
Brooklyn,Gates Av J train icon Z train icon,7464,Brooklyn,Gates Av J train icon Z train icon,5964,TRUE
Brooklyn,Graham Av L train icon,11215,Brooklyn,Graham Av L train icon,9889,TRUE
Brooklyn,Grand Army Plaza 2 train icon 3 train icon,8908,Brooklyn,Grand Army Plaza 2 train icon 3 train icon,8068,TRUE
Brooklyn,Grand St L train icon,6449,Brooklyn,Grand St L train icon,7171,TRUE
Brooklyn,Grant Av A train icon,6929,Brooklyn,Grant Av A train icon,6290,TRUE
Brooklyn,Greenpoint Av G train icon,8545,Brooklyn,Greenpoint Av G train icon,8212,TRUE
Brooklyn,Halsey St J train icon,7075,Brooklyn,Halsey St J train icon,5650,TRUE
Brooklyn,Halsey St L train icon,7458,Brooklyn,Halsey St L train icon,6904,TRUE
Brooklyn,Hewes St J train icon M train icon,3528,Brooklyn,Hewes St J train icon M train icon,2811,TRUE
Brooklyn,High St A train icon C train icon,8106,Brooklyn,High St A train icon C train icon,7050,TRUE
Brooklyn,Hoyt St 2 train icon 3 train icon,5562,Brooklyn,Hoyt St 2 train icon 3 train icon,6710,TRUE
Brooklyn,Hoyt-Schermerhorn Sts A train icon C train icon G train icon,9428,Brooklyn,Hoyt-Schermerhorn Sts A train icon C train icon G train icon,9928,TRUE
Brooklyn,Jay St-MetroTech A train icon C train icon F train icon R train icon,29899,Brooklyn,Jay St-MetroTech A train icon C train icon F train icon R train icon,39561,TRUE
Brooklyn,Jefferson St L train icon,7613,Brooklyn,Jefferson St L train icon,5951,TRUE
Brooklyn,Junius St 3 train icon,1948,Brooklyn,Junius St 3 train icon,2204,TRUE
Brooklyn,Kings Hwy B train icon Q train icon,15484,Brooklyn,Kings Hwy B train icon Q train icon,18422,TRUE
Brooklyn,Kings Hwy F train icon,3563,Brooklyn,Kings Hwy F train icon,3681,TRUE
Brooklyn,Kings Hwy N train icon,6212,Brooklyn,Kings Hwy N train icon,5104,TRUE
Brooklyn,Kingston Av 3 train icon,5052,Brooklyn,Kingston Av 3 train icon,4929,TRUE
Brooklyn,Kingston-Throop Avs C train icon,6750,Brooklyn,Kingston-Throop Avs C train icon,5331,TRUE
Brooklyn,Knickerbocker Av M train icon,2115,Brooklyn,Knickerbocker Av M train icon,2350,TRUE
Brooklyn,Kosciuszko St J train icon,6072,Brooklyn,Kosciuszko St J train icon,4592,TRUE
Brooklyn,Lafayette Av C train icon,7164,Brooklyn,Lafayette Av C train icon,4774,TRUE
Brooklyn,Liberty Av C train icon,2536,Brooklyn,Liberty Av C train icon,2632,TRUE
Brooklyn,Livonia Av L train icon,3198,Brooklyn,Livonia Av L train icon,2908,TRUE
Brooklyn,Lorimer St J train icon M train icon,5463,Brooklyn,Lorimer St J train icon M train icon,4779,TRUE
Brooklyn,Lorimer St L train icon/Metropolitan Av G train icon,24022,Brooklyn,Lorimer St L train icon/Metropolitan Av G train icon,13344,TRUE
Brooklyn,Marcy Av J train icon M train icon Z train icon,12181,Brooklyn,Marcy Av J train icon M train icon Z train icon,11591,TRUE
Brooklyn,Montrose Av L train icon,8430,Brooklyn,Montrose Av L train icon,6452,TRUE
Brooklyn,Morgan Av L train icon,10151,Brooklyn,Morgan Av L train icon,6821,TRUE
Brooklyn,Myrtle Av J train icon M train icon Z train icon,13372,Brooklyn,Myrtle Av J train icon M train icon Z train icon,10098,TRUE
Brooklyn,Myrtle-Willoughby Avs G train icon,5353,Brooklyn,Myrtle-Willoughby Avs G train icon,4581,TRUE
Brooklyn,Myrtle-Wyckoff Avs L train icon M train icon,23285,Brooklyn,Myrtle-Wyckoff Avs L train icon M train icon,17537,TRUE
Brooklyn,Nassau Av G train icon,8344,Brooklyn,Nassau Av G train icon,8096,TRUE
Brooklyn,Neck Rd Q train icon,3460,Brooklyn,Neck Rd Q train icon,3834,TRUE
Brooklyn,Neptune Av F train icon,1440,Brooklyn,Neptune Av F train icon,1705,TRUE
Brooklyn,Nevins St 2 train icon 3 train icon 4 train icon 5 train icon,10022,Brooklyn,Nevins St 2 train icon 3 train icon 4 train icon 5 train icon,11653,TRUE
Brooklyn,New Lots Av 3 train icon,5436,Brooklyn,New Lots Av 3 train icon,6214,TRUE
Brooklyn,New Lots Av L train icon,4744,Brooklyn,New Lots Av L train icon,4475,TRUE
Brooklyn,New Utrecht Av N train icon/62 St D train icon,8504,Brooklyn,New Utrecht Av N train icon/62 St D train icon,5883,TRUE
Brooklyn,Newkirk Av 2 train icon 5 train icon,6854,Brooklyn,Newkirk Av 2 train icon 5 train icon,7604,TRUE
Brooklyn,Newkirk Plaza B train icon Q train icon,10004,Brooklyn,Newkirk Plaza B train icon Q train icon,9890,TRUE
Brooklyn,Norwood Av J train icon Z train icon,3957,Brooklyn,Norwood Av J train icon Z train icon,3518,TRUE
Brooklyn,Nostrand Av 3 train icon,5192,Brooklyn,Nostrand Av 3 train icon,4113,TRUE
Brooklyn,Nostrand Av A train icon C train icon,21437,Brooklyn,Nostrand Av A train icon C train icon,16439,TRUE
Brooklyn,Ocean Pkwy Q train icon,3542,Brooklyn,Ocean Pkwy Q train icon,3155,TRUE
Brooklyn,Park Pl S train icon,2397,Brooklyn,Park Pl S train icon,2201,TRUE
Brooklyn,Parkside Av Q train icon,6891,Brooklyn,Parkside Av Q train icon,5729,TRUE
Brooklyn,Pennsylvania Av 3 train icon,4783,Brooklyn,Pennsylvania Av 3 train icon,5696,TRUE
Brooklyn,President St 2 train icon 5 train icon,3395,Brooklyn,President St 2 train icon 5 train icon,3815,TRUE
Brooklyn,Prospect Av R train icon,6018,Brooklyn,Prospect Av R train icon,6147,TRUE
Brooklyn,Prospect Park B train icon Q train icon S train icon,11561,Brooklyn,Prospect Park B train icon Q train icon S train icon,9024,TRUE
Brooklyn,Ralph Av C train icon,6042,Brooklyn,Ralph Av C train icon,5175,TRUE
Brooklyn,Rockaway Av 3 train icon,4906,Brooklyn,Rockaway Av 3 train icon,5636,TRUE
Brooklyn,Rockaway Av C train icon,5512,Brooklyn,Rockaway Av C train icon,5089,TRUE
Brooklyn,Saratoga Av 3 train icon,4525,Brooklyn,Saratoga Av 3 train icon,5697,TRUE
Brooklyn,Sheepshead Bay B train icon Q train icon,11495,Brooklyn,Sheepshead Bay B train icon Q train icon,14083,TRUE
Brooklyn,Shepherd Av C train icon,3405,Brooklyn,Shepherd Av C train icon,3034,TRUE
Brooklyn,Smith-9 Sts F train icon G train icon,0,Brooklyn,Smith-9 Sts F train icon G train icon,0,TRUE
Brooklyn,Sterling St 2 train icon 5 train icon,5932,Brooklyn,Sterling St 2 train icon 5 train icon,5899,TRUE
Brooklyn,Sutter Av L train icon,4989,Brooklyn,Sutter Av L train icon,4437,TRUE
Brooklyn,Sutter Av-Rutland Rd 3 train icon,6469,Brooklyn,Sutter Av-Rutland Rd 3 train icon,7713,TRUE
Brooklyn,Union St R train icon,7627,Brooklyn,Union St R train icon,6935,TRUE
Brooklyn,Utica Av A train icon C train icon,17320,Brooklyn,Utica Av A train icon C train icon,14327,TRUE
Brooklyn,Van Siclen Av 3 train icon,2834,Brooklyn,Van Siclen Av 3 train icon,3431,TRUE
Brooklyn,Van Siclen Av C train icon,3307,Brooklyn,Van Siclen Av C train icon,2864,TRUE
Brooklyn,Van Siclen Av J train icon Z train icon,3393,Brooklyn,Van Siclen Av J train icon Z train icon,2829,TRUE
Brooklyn,West 8 St-New York Aquarium F train icon Q train icon,3427,Brooklyn,West 8 St-New York Aquarium F train icon Q train icon,2285,TRUE
Brooklyn,Wilson Av L train icon,4064,Brooklyn,Wilson Av L train icon,3566,TRUE
