Boro,Station (alphabetical by borough),2012,Boro,Station (alphabetical by borough),2012,Check
Brooklyn,Winthrop St 2 train icon 5 train icon,5287,Brooklyn,Winthrop St 2 train icon 5 train icon,7524,TRUE
Brooklyn,York St F train icon,7260,Brooklyn,York St F train icon,7798,TRUE
,Manhattan,,,Manhattan,,TRUE
Manhattan,1 Av L train icon,30928,Manhattan,1 Av L train icon,22436,TRUE
Manhattan,103 St 1 train icon,17810,Manhattan,103 St 1 train icon,13557,TRUE
Manhattan,103 St 6 train icon,16997,Manhattan,103 St 6 train icon,15721,TRUE
Manhattan,103 St B train icon C train icon,5599,Manhattan,103 St B train icon C train icon,4659,TRUE
Manhattan,110 St 6 train icon,13944,Manhattan,110 St 6 train icon,11908,TRUE
Manhattan,116 St 2 train icon 3 train icon,14810,Manhattan,116 St 2 train icon 3 train icon,11100,TRUE
Manhattan,116 St 6 train icon,20749,Manhattan,116 St 6 train icon,16514,TRUE
Manhattan,116 St B train icon C train icon,7647,Manhattan,116 St B train icon C train icon,6328,TRUE
Manhattan,116 St-Columbia University 1 train icon,16047,Manhattan,116 St-Columbia University 1 train icon,16283,TRUE
Manhattan,125 St 1 train icon,10889,Manhattan,125 St 1 train icon,7857,TRUE
Manhattan,125 St 2 train icon 3 train icon,18686,Manhattan,125 St 2 train icon 3 train icon,14471,TRUE
Manhattan,125 St 4 train icon 5 train icon 6 train icon,31873,Manhattan,125 St 4 train icon 5 train icon 6 train icon,28913,TRUE
Manhattan,125 St A train icon B train icon C train icon D train icon,34011,Manhattan,125 St A train icon B train icon C train icon D train icon,26276,TRUE
Manhattan,135 St 2 train icon 3 train icon,17351,Manhattan,135 St 2 train icon 3 train icon,14120,TRUE
Manhattan,135 St B train icon C train icon,5165,Manhattan,135 St B train icon C train icon,5409,TRUE
Manhattan,137 St-City College 1 train icon,16874,Manhattan,137 St-City College 1 train icon,14854,TRUE
Manhattan,14 St A train icon C train icon E train icon/8 Av L train icon,51356,Manhattan,14 St A train icon C train icon E train icon/8 Av L train icon,40990,TRUE
Manhattan,14 St F train icon M train icon 1 train icon 2 train icon 3 train icon/6 Av L train icon,58546,Manhattan,14 St F train icon M train icon 1 train icon 2 train icon 3 train icon/6 Av L train icon,49237,TRUE
Manhattan,14 St-Union Sq L train icon N train icon Q train icon R train icon 4 train icon 5 train icon 6 train icon,140855,Manhattan,14 St-Union Sq L train icon N train icon Q train icon R train icon 4 train icon 5 train icon 6 train icon,108000,TRUE
Manhattan,145 St 1 train icon,14616,Manhattan,145 St 1 train icon,9952,TRUE
Manhattan,145 St 3 train icon,3594,Manhattan,145 St 3 train icon,3273,TRUE
Manhattan,145 St A train icon B train icon C train icon D train icon,27736,Manhattan,145 St A train icon B train icon C train icon D train icon,22125,TRUE
Manhattan,155 St B train icon D train icon,4906,Manhattan,155 St B train icon D train icon,3947,TRUE
Manhattan,155 St C train icon,3212,Manhattan,155 St C train icon,2490,TRUE
Manhattan,157 St 1 train icon,14552,Manhattan,157 St 1 train icon,10331,TRUE
Manhattan,163 St-Amsterdam Av C train icon,4881,Manhattan,163 St-Amsterdam Av C train icon,3849,TRUE
Manhattan,168 St A train icon C train icon 1 train icon,24960,Manhattan,168 St A train icon C train icon 1 train icon,24580,TRUE
Manhattan,175 St A train icon,14568,Manhattan,175 St A train icon,12914,TRUE
Manhattan,18 St 1 train icon,7867,Manhattan,18 St 1 train icon,8437,TRUE
Manhattan,181 St 1 train icon,13682,Manhattan,181 St 1 train icon,10978,TRUE
Manhattan,181 St A train icon,12549,Manhattan,181 St A train icon,10223,TRUE
Manhattan,190 St A train icon,5974,Manhattan,190 St A train icon,4592,TRUE
Manhattan,191 St 1 train icon,9138,Manhattan,191 St 1 train icon,8042,TRUE
Manhattan,2 Av F train icon,24235,Manhattan,2 Av F train icon,17540,TRUE
Manhattan,207 St 1 train icon,8484,Manhattan,207 St 1 train icon,6954,TRUE
Manhattan,215 St 1 train icon,1858,Manhattan,215 St 1 train icon,1996,TRUE
Manhattan,23 St 1 train icon,16990,Manhattan,23 St 1 train icon,14931,TRUE
Manhattan,23 St 6 train icon,21335,Manhattan,23 St 6 train icon,31053,TRUE
Manhattan,23 St C train icon E train icon,23119,Manhattan,23 St C train icon E train icon,23572,TRUE
Manhattan,23 St F train icon M train icon,20120,Manhattan,23 St F train icon M train icon,27977,TRUE
Manhattan,23 St N train icon R train icon,19597,Manhattan,23 St N train icon R train icon,22981,TRUE
Manhattan,28 St 1 train icon,12833,Manhattan,28 St 1 train icon,14597,TRUE
Manhattan,28 St 6 train icon,18664,Manhattan,28 St 6 train icon,22715,TRUE
Manhattan,28 St N train icon R train icon,9883,Manhattan,28 St N train icon R train icon,11502,TRUE
Manhattan,3 Av L train icon,10073,Manhattan,3 Av L train icon,6532,TRUE
Manhattan,33 St 6 train icon,25926,Manhattan,33 St 6 train icon,31877,TRUE
Manhattan,34 St-Herald Square B train icon D train icon F train icon M train icon N train icon Q train icon R train icon,125297,Manhattan,34 St-Herald Square B train icon D train icon F train icon M train icon N train icon Q train icon R train icon,121120,TRUE
Manhattan,34 St-Penn Station 1 train icon 2 train icon 3 train icon,87177,Manhattan,34 St-Penn Station 1 train icon 2 train icon 3 train icon,88929,TRUE
Manhattan,34 St-Penn Station A train icon C train icon E train icon,76888,Manhattan,34 St-Penn Station A train icon C train icon E train icon,82511,TRUE
Manhattan,42 St-Bryant Pk B train icon D train icon F train icon M train icon/5 Av 7 train icon,35250,Manhattan,42 St-Bryant Pk B train icon D train icon F train icon M train icon/5 Av 7 train icon,51962,TRUE
Manhattan,47-50 Sts-Rockefeller Center B train icon D train icon F train icon M train icon,39051,Manhattan,47-50 Sts-Rockefeller Center B train icon D train icon F train icon M train icon,59749,TRUE
Manhattan,49 St N train icon Q train icon R train icon,31697,Manhattan,49 St N train icon Q train icon R train icon,25793,TRUE
Manhattan,5 Av-53 St E train icon M train icon,10344,Manhattan,5 Av-53 St E train icon M train icon,24727,TRUE
Manhattan,5 Av-59 St N train icon Q train icon R train icon,22443,Manhattan,5 Av-59 St N train icon Q train icon R train icon,18816,TRUE
Manhattan,50 St 1 train icon,26513,Manhattan,50 St 1 train icon,25930,TRUE
Manhattan,50 St C train icon E train icon,22505,Manhattan,50 St C train icon E train icon,17892,TRUE
Manhattan,57 St F train icon,13207,Manhattan,57 St F train icon,14743,TRUE
Manhattan,57 St-7 Av N train icon Q train icon R train icon,31343,Manhattan,57 St-7 Av N train icon Q train icon R train icon,28044,TRUE
Manhattan,59 St-Columbus Circle A train icon B train icon C train icon D train icon 1 train icon,76520,Manhattan,59 St-Columbus Circle A train icon B train icon C train icon D train icon 1 train icon,69653,TRUE
Manhattan,66 St-Lincoln Center 1 train icon,28259,Manhattan,66 St-Lincoln Center 1 train icon,23305,TRUE
Manhattan,68 St-Hunter College 6 train icon,25112,Manhattan,68 St-Hunter College 6 train icon,36109,TRUE
Manhattan,7 Av B train icon D train icon E train icon,11945,Manhattan,7 Av B train icon D train icon E train icon,14922,TRUE
Manhattan,72 St 1 train icon 2 train icon 3 train icon,54346,Manhattan,72 St 1 train icon 2 train icon 3 train icon,40271,TRUE
Manhattan,72 St B train icon C train icon,11146,Manhattan,72 St B train icon C train icon,8875,TRUE
Manhattan,77 St 6 train icon,35034,Manhattan,77 St 6 train icon,36846,TRUE
Manhattan,79 St 1 train icon,22065,Manhattan,79 St 1 train icon,16349,TRUE
Manhattan,8 St-New York University N train icon R train icon,22455,Manhattan,8 St-New York University N train icon R train icon,17766,TRUE
Manhattan,81 St-Museum of Natural History B train icon C train icon,17404,Manhattan,81 St-Museum of Natural History B train icon C train icon,13119,TRUE
Manhattan,86 St 1 train icon,23823,Manhattan,86 St 1 train icon,19677,TRUE
Manhattan,86 St 4 train icon 5 train icon 6 train icon,70146,Manhattan,86 St 4 train icon 5 train icon 6 train icon,63550,TRUE
Manhattan,86 St B train icon C train icon,9680,Manhattan,86 St B train icon C train icon,11093,TRUE
Manhattan,96 St 1 train icon 2 train icon 3 train icon,48008,Manhattan,96 St 1 train icon 2 train icon 3 train icon,37941,TRUE
Manhattan,96 St 6 train icon,21960,Manhattan,96 St 6 train icon,26070,TRUE
Manhattan,96 St B train icon C train icon,8283,Manhattan,96 St B train icon C train icon,9514,TRUE
Manhattan,Astor Place 6 train icon,21020,Manhattan,Astor Place 6 train icon,17607,TRUE
Manhattan,Bowery J train icon Z train icon,5145,Manhattan,Bowery J train icon Z train icon,2746,TRUE
Manhattan,Bowling Green 4 train icon 5 train icon,17227,Manhattan,Bowling Green 4 train icon 5 train icon,28183,TRUE
Manhattan,Broad St J train icon Z train icon,95,Manhattan,Broad St J train icon Z train icon,5261,TRUE
Manhattan,Broadway-Lafayette St B train icon D train icon F train icon M train icon/Bleecker St 6 train icon,45632,Manhattan,Broadway-Lafayette St B train icon D train icon F train icon M train icon/Bleecker St 6 train icon,37283,TRUE
Manhattan,Brooklyn Bridge-City Hall 4 train icon 5 train icon 6 train icon/Chambers St J train icon Z train icon,26025,Manhattan,Brooklyn Bridge-City Hall 4 train icon 5 train icon 6 train icon/Chambers St J train icon Z train icon,36993,TRUE
Manhattan,Canal St 1 train icon,4875,Manhattan,Canal St 1 train icon,5854,TRUE
Manhattan,Canal St A train icon C train icon E train icon,15441,Manhattan,Canal St A train icon C train icon E train icon,19097,TRUE
Manhattan,Canal St J train icon N train icon Q train icon R train icon Z train icon 6 train icon,73859,Manhattan,Canal St J train icon N train icon Q train icon R train icon Z train icon 6 train icon,45952,TRUE
Manhattan,Cathedral Pkwy-110 St 1 train icon,18710,Manhattan,Cathedral Pkwy-110 St 1 train icon,13870,TRUE
Manhattan,Cathedral Pkwy-110 St B train icon C train icon,8652,Manhattan,Cathedral Pkwy-110 St B train icon C train icon,6933,TRUE
Manhattan,Central Park North-110 St 2 train icon 3 train icon,11305,Manhattan,Central Park North-110 St 2 train icon 3 train icon,8751,TRUE
Manhattan,Chambers St 1 train icon 2 train icon 3 train icon,15240,Manhattan,Chambers St 1 train icon 2 train icon 3 train icon,23151,TRUE
Manhattan,Chambers St A train icon C train icon/WTC E train icon/Park Place 2 train icon 3 train icon,36362,Manhattan,Chambers St A train icon C train icon/WTC E train icon/Park Place 2 train icon 3 train icon,53589,TRUE
Manhattan,Christopher St-Sheridan Sq 1 train icon,16848,Manhattan,Christopher St-Sheridan Sq 1 train icon,10068,TRUE
Manhattan,City Hall R train icon,4819,Manhattan,City Hall R train icon,7330,TRUE
Manhattan,Cortlandt St 1 train icon,0,Manhattan,Cortlandt St 1 train icon,0,TRUE
Manhattan,Cortlandt St R train icon,8372,Manhattan,Cortlandt St R train icon,6393,TRUE
Manhattan,Delancey St F train icon/Essex St J train icon M train icon Z train icon,28830,Manhattan,Delancey St F train icon/Essex St J train icon M train icon Z train icon,22846,TRUE
Manhattan,Dyckman St 1 train icon,5184,Manhattan,Dyckman St 1 train icon,3795,TRUE
Manhattan,Dyckman St A train icon,9142,Manhattan,Dyckman St A train icon,7375,TRUE
Manhattan,East Broadway F train icon,13734,Manhattan,East Broadway F train icon,13052,TRUE
Manhattan,Franklin St 1 train icon,4279,Manhattan,Franklin St 1 train icon,5931,TRUE
Manhattan,Fulton St A train icon C train icon J train icon Z train icon 2 train icon 3 train icon 4 train icon 5 train icon,40109,Manhattan,Fulton St A train icon C train icon J train icon Z train icon 2 train icon 3 train icon 4 train icon 5 train icon,62779,TRUE
Manhattan,Grand Central-42 St S train icon 4 train icon 5 train icon 6 train icon 7 train icon,99936,Manhattan,Grand Central-42 St S train icon 4 train icon 5 train icon 6 train icon 7 train icon,150266,TRUE
Manhattan,Grand St B train icon D train icon,32714,Manhattan,Grand St B train icon D train icon,23406,TRUE
Manhattan,Harlem-148 St 3 train icon,3786,Manhattan,Harlem-148 St 3 train icon,3616,TRUE
Manhattan,Houston St 1 train icon,8851,Manhattan,Houston St 1 train icon,15247,TRUE
Manhattan,Inwood-207 St A train icon,11333,Manhattan,Inwood-207 St A train icon,8717,TRUE
Manhattan,Lexington Av N train icon Q train icon R train icon/59 St 4 train icon 5 train icon 6 train icon,69374,Manhattan,Lexington Av N train icon Q train icon R train icon/59 St 4 train icon 5 train icon 6 train icon,67478,TRUE
Manhattan,Lexington Av-53 St E train icon M train icon/51 St 6 train icon,42957,Manhattan,Lexington Av-53 St E train icon M train icon/51 St 6 train icon,67821,TRUE
Manhattan,Lexington Av-63 St F train icon,12191,Manhattan,Lexington Av-63 St F train icon,15639,TRUE
Manhattan,Marble Hill-225 St 1 train icon,6846,Manhattan,Marble Hill-225 St 1 train icon,5380,TRUE
Manhattan,Prince St N train icon R train icon,25952,Manhattan,Prince St N train icon R train icon,16344,TRUE
Manhattan,Rector St 1 train icon,9776,Manhattan,Rector St 1 train icon,10065,TRUE
Manhattan,Rector St R train icon,5985,Manhattan,Rector St R train icon,6912,TRUE
Manhattan,Roosevelt Island F train icon,7571,Manhattan,Roosevelt Island F train icon,6430,TRUE
Manhattan,South Ferry1 train icon/Whitehall St R train icon,26929,Manhattan,South Ferry1 train icon/Whitehall St R train icon,26576,TRUE
Manhattan,Spring St 6 train icon,17778,Manhattan,Spring St 6 train icon,12153,TRUE
Manhattan,Spring St C train icon E train icon,10489,Manhattan,Spring St C train icon E train icon,12604,TRUE
Manhattan,Times Sq-42 St N train icon Q train icon R train icon S train icon 1 train icon 2 train icon 3 train icon 7 train icon/42 St A train icon C train icon E train icon,239674,Manhattan,Times Sq-42 St N train icon Q train icon R train icon S train icon 1 train icon 2 train icon 3 train icon 7 train icon/42 St A train icon C train icon E train icon,195464,TRUE
Manhattan,Wall St 2 train icon 3 train icon,11514,Manhattan,Wall St 2 train icon 3 train icon,25682,TRUE
Manhattan,Wall St 4 train icon 5 train icon,12233,Manhattan,Wall St 4 train icon 5 train icon,23992,TRUE
Manhattan,West 4 St-Washington Sq A train icon B train icon C train icon D train icon E train icon F train icon M train icon,54177,Manhattan,West 4 St-Washington Sq A train icon B train icon C train icon D train icon E train icon F train icon M train icon,39157,TRUE
,Queens,,,Queens,,TRUE
Queens,103 St-Corona Plaza 7 train icon,25246,Queens,103 St-Corona Plaza 7 train icon,18984,TRUE
Queens,104 St A train icon,1401,Queens,104 St A train icon,1725,TRUE
Queens,104 St J train icon Z train icon,2108,Queens,104 St J train icon Z train icon,2553,TRUE
Queens,111 St 7 train icon,14741,Queens,111 St 7 train icon,10655,TRUE
Queens,111 St A train icon,2102,Queens,111 St A train icon,2728,TRUE
Queens,111 St J train icon,2021,Queens,111 St J train icon,2613,TRUE
Queens,121 St J train icon Z train icon,1991,Queens,121 St J train icon Z train icon,2218,TRUE
Queens,169 St F train icon,9576,Queens,169 St F train icon,8944,TRUE
Queens,21 St G train icon,1841,Queens,21 St G train icon,1478,TRUE
Queens,21 St-Queensbridge F train icon,8532,Queens,21 St-Queensbridge F train icon,8749,TRUE
Queens,30 Av N train icon Q train icon,18212,Queens,30 Av N train icon Q train icon,14515,TRUE
Queens,33 St-Rawson St 7 train icon,4920,Queens,33 St-Rawson St 7 train icon,13985,TRUE
Queens,36 Av N train icon Q train icon,9088,Queens,36 Av N train icon Q train icon,7669,TRUE
Queens,36 St M train icon R train icon,2454,Queens,36 St M train icon R train icon,4502,TRUE
Queens,39 Av N train icon Q train icon,3110,Queens,39 Av N train icon Q train icon,3044,TRUE
Queens,40 St-Lowery St 7 train icon,12122,Queens,40 St-Lowery St 7 train icon,10919,TRUE
Queens,46 St M train icon R train icon,11137,Queens,46 St M train icon R train icon,9482,TRUE
Queens,46 St-Bliss St 7 train icon,18491,Queens,46 St-Bliss St 7 train icon,14499,TRUE
Queens,52 St 7 train icon,8221,Queens,52 St 7 train icon,6748,TRUE
Queens,63 Dr-Rego Park M train icon R train icon,17997,Queens,63 Dr-Rego Park M train icon R train icon,16056,TRUE
Queens,65 St M train icon R train icon,4453,Queens,65 St M train icon R train icon,3551,TRUE
Queens,67 Av M train icon R train icon,7702,Queens,67 Av M train icon R train icon,9403,TRUE
Queens,69 St 7 train icon,7107,Queens,69 St 7 train icon,5031,TRUE
Queens,74-Bway 7 train icon/Jackson Hts-Roosevelt Av E train icon F train icon M train icon R train icon,69688,Queens,74-Bway 7 train icon/Jackson Hts-Roosevelt Av E train icon F train icon M train icon R train icon,50194,TRUE
Queens,75 Av E train icon F train icon,3615,Queens,75 Av E train icon F train icon,3735,TRUE
Queens,75 St-Elderts Ln J train icon Z train icon,3046,Queens,75 St-Elderts Ln J train icon Z train icon,3757,TRUE
Queens,80 St A train icon,4212,Queens,80 St A train icon,4253,TRUE
Queens,82 St-Jackson Hts 7 train icon,20374,Queens,82 St-Jackson Hts 7 train icon,15582,TRUE
Queens,85 St-Forest Pkwy J train icon,3279,Queens,85 St-Forest Pkwy J train icon,3776,TRUE
Queens,88 St A train icon,2257,Queens,88 St A train icon,2677,TRUE
Queens,90 St-Elmhurst Av 7 train icon,22506,Queens,90 St-Elmhurst Av 7 train icon,16768,TRUE
Queens,Aqueduct Racetrack A train icon,0,Queens,Aqueduct Racetrack A train icon,0,TRUE
Queens,Aqueduct-North Conduit Av A train icon,5067,Queens,Aqueduct-North Conduit Av A train icon,2430,TRUE
Queens,Astoria Blvd N train icon Q train icon,15354,Queens,Astoria Blvd N train icon Q train icon,12127,TRUE
Queens,Astoria-Ditmars Blvd N train icon Q train icon,19077,Queens,Astoria-Ditmars Blvd N train icon Q train icon,16777,TRUE
Queens,Beach 105 St A train icon S train icon,325,Queens,Beach 105 St A train icon S train icon,253,TRUE
Queens,Beach 25 St A train icon,1163,Queens,Beach 25 St A train icon,1494,TRUE
Queens,Beach 36 St A train icon,696,Queens,Beach 36 St A train icon,718,TRUE
Queens,Beach 44 St A train icon,496,Queens,Beach 44 St A train icon,538,TRUE
Queens,Beach 60 St A train icon,1954,Queens,Beach 60 St A train icon,1924,TRUE
Queens,Beach 67 St A train icon,1947,Queens,Beach 67 St A train icon,1859,TRUE
Queens,Beach 90 St A train icon S train icon,1563,Queens,Beach 90 St A train icon S train icon,877,TRUE
Queens,Beach 98 St A train icon S train icon,874,Queens,Beach 98 St A train icon S train icon,572,TRUE
Queens,Briarwood-Van Wyck Blvd E train icon F train icon,4827,Queens,Briarwood-Van Wyck Blvd E train icon F train icon,5196,TRUE
Queens,Broad Channel A train icon S train icon,171,Queens,Broad Channel A train icon S train icon,267,TRUE
Queens,Broadway N train icon Q train icon,16517,Queens,Broadway N train icon Q train icon,13041,TRUE
Queens,Court Sq E train icon G train icon M train icon 7 train icon,12787,Queens,Court Sq E train icon G train icon M train icon 7 train icon,18631,TRUE
Queens,Elmhurst Av M train icon R train icon,17262,Queens,Elmhurst Av M train icon R train icon,13562,TRUE
Queens,Far Rockaway-Mott Av A train icon,3639,Queens,Far Rockaway-Mott Av A train icon,4068,TRUE
Queens,Flushing-Main St 7 train icon,70993,Queens,Flushing-Main St 7 train icon,60540,TRUE
Queens,Forest Av M train icon,2606,Queens,Forest Av M train icon,3971,TRUE
Queens,Forest Hills-71 Av E train icon F train icon M train icon R train icon,26787,Queens,Forest Hills-71 Av E train icon F train icon M train icon R train icon,27537,TRUE
Queens,Fresh Pond Rd M train icon,3739,Queens,Fresh Pond Rd M train icon,5545,TRUE
Queens,Grand Av-Newtown M train icon R train icon,22147,Queens,Grand Av-Newtown M train icon R train icon,18108,TRUE
Queens,Howard Beach-JFK Airport A train icon,4751,Queens,Howard Beach-JFK Airport A train icon,3227,TRUE
Queens,Hunters Point Av 7 train icon,1442,Queens,Hunters Point Av 7 train icon,6521,TRUE
Queens,Jamaica Center-Parsons-Archer E train icon J train icon Z train icon,35186,Queens,Jamaica Center-Parsons-Archer E train icon J train icon Z train icon,41130,TRUE
Queens,Jamaica-179 St F train icon,17189,Queens,Jamaica-179 St F train icon,23330,TRUE
Queens,Jamaica-Van Wyck E train icon,5876,Queens,Jamaica-Van Wyck E train icon,4930,TRUE
Queens,Junction Blvd 7 train icon,28341,Queens,Junction Blvd 7 train icon,20938,TRUE
Queens,Kew Gardens-Union Turnpike E train icon F train icon,24355,Queens,Kew Gardens-Union Turnpike E train icon F train icon,27884,TRUE
Queens,Mets-Willets Point 7 train icon,9273,Queens,Mets-Willets Point 7 train icon,4618,TRUE
Queens,Middle Village-Metropolitan Av M train icon,3268,Queens,Middle Village-Metropolitan Av M train icon,4053,TRUE
Queens,Northern Blvd M train icon R train icon,7587,Queens,Northern Blvd M train icon R train icon,7201,TRUE
Queens,Ozone Park-Lefferts Blvd A train icon,6976,Queens,Ozone Park-Lefferts Blvd A train icon,7460,TRUE
Queens,Parsons Blvd F train icon,6740,Queens,Parsons Blvd F train icon,6329,TRUE
Queens,Queens Plaza E train icon M train icon R train icon,6051,Queens,Queens Plaza E train icon M train icon R train icon,9695,TRUE
Queens,Queensboro Plaza N train icon Q train icon 7 train icon,12254,Queens,Queensboro Plaza N train icon Q train icon 7 train icon,10752,TRUE
Queens,Rockaway Blvd A train icon,7989,Queens,Rockaway Blvd A train icon,8045,TRUE
Queens,Rockaway Park-Beach 116 St A train icon S train icon,1143,Queens,Rockaway Park-Beach 116 St A train icon S train icon,741,TRUE
Queens,Seneca Av M train icon,1851,Queens,Seneca Av M train icon,2461,TRUE
Queens,Steinway St M train icon R train icon,20193,Queens,Steinway St M train icon R train icon,15061,TRUE
Queens,Sutphin Blvd F train icon,5086,Queens,Sutphin Blvd F train icon,4760,TRUE
Queens,Sutphin Blvd-Archer Av-JFK Airport E train icon J train icon Z train icon,25388,Queens,Sutphin Blvd-Archer Av-JFK Airport E train icon J train icon Z train icon,22285,TRUE
Queens,Vernon Blvd-Jackson Av 7 train icon,8612,Queens,Vernon Blvd-Jackson Av 7 train icon,11541,TRUE
Queens,Woodhaven Blvd J train icon Z train icon,3835,Queens,Woodhaven Blvd J train icon Z train icon,4464,TRUE
Queens,Woodhaven Blvd M train icon R train icon,27847,Queens,Woodhaven Blvd M train icon R train icon,22521,TRUE
Queens,Woodside-61 St 7 train icon,20030,Queens,Woodside-61 St 7 train icon,16698,TRUE
,,,,,,TRUE
Total,Brooklyn,1259307,,Brooklyn,1151433,TRUE
Total,Bronx,504897,,Bronx,469571,TRUE
Total,Manhattan,3054361,,Manhattan,2981657,TRUE
Total,Queens,844804,,Queens,777473,TRUE
Total,Systemwide Adjustment,-6,,Systemwide Adjustment,50,TRUE
Total,System Total,5663363,,System Total,5380184,TRUE
